10:33:08p |    Ort   Tal   Ral    ++     Szczesciarz   Podnosi nieco prawdopodobienstwo zdobycia lepszych run
10:33:08p |     Ko   Dol    El    ++  Wybraniec losu   Podnosi zauwazalnie prawdopodobienstwo zdobycia lepszych run
10:33:08p |    Sol   Tir   Ral    ++         Widzacy   Podnosi troche umiejetnosc w ocenianiu wlasnosci przedmiotow, troche umiejetnosc w szacowaniu wartosci przedmiotow oraz zauwazalnie widzenie w ciemnosci ponadto pozwala widziec magiczna energie
10:33:08p |    Nef   Hel    Ko    ++       Leniuszek   Podnosi troche umiejetnosc w ocenianiu wlasnosci przedmiotow ponadto juz nigdy nie bedziesz musial odwiedzac kowala
10:33:08p |    Eth   Ort   Ral     +          Wiecej   Podnosi nieco prawdopodobienstwo zdobycia dodatkowych run
10:33:08p |    Ort   Hel    Io     +     Duzo wiecej   Podnosi zauwazalnie prawdopodobienstwo zdobycia dodatkowych run
10:33:08p |    Sol   Tal  Thul     +       Jajoglowy   Podnosi sporo ilosc zapamietanych czarow oraz nieco wielkosc listy dozwolonych czarow
10:33:08p |   Thul   Ort   Amn    ++       Spekulant   Podnosi nieco umiejetnosc w zawieraniu korzystnych transakcji handlowych
10:33:08p |    Dol   Tir   Tal    ++        Profesor   Podnosi nieznacznie ilosc doswiadczenia przekazywanego na inteligencje oraz nieznacznie ilosc doswiadczenia przekazywanego na madrosc
10:33:08p |     El   Ral   Dol    ++        Miesniak   Podnosi minimalnie ilosc doswiadczenia przekazywanego na sile, minimalnie ilosc doswiadczenia przekazywanego na zrecznosc oraz minimalnie ilosc doswiadczenia przekazywanego na wytrzymalosc
10:33:08p |    Tal   Hel   Amn    ++           Heros   Podnosi nieznacznie ilosc doswiadczenia przekazywanego na odwage
10:33:08p |     El   Amn   Ith     +          Kopacz   Podnosi nieznacznie umiejetnosc w wydobywaniu mineralow spod ziemi
10:33:08p |    Amn   Eld   Eth     +       Wytapiacz   Podnosi nieznacznie umiejetnosc w metalurgii
10:33:08p |    Tir   Dol   Ort    ++     Kolekcjoner   Podnosi nieznacznie ilosc przedmiotow ktore mozesz trwale zabezpieczyc
10:33:08p |    Tir   Ort   Amn   +++           Silny   Podnosi nieznacznie sile
10:33:08p |    Amn   Eth    El   +++         Zreczny   Podnosi nieznacznie zrecznosc
10:33:08p |   Thul   Amn   Eld   +++      Wytrzymaly   Podnosi nieznacznie wytrzymalosc
10:33:08p |    Eth   Amn   Ral   +++    Inteligentny   Podnosi nieznacznie inteligencje
10:33:08p |    Nef   Ral   Amn   +++           Madry   Podnosi nieznacznie madrosc
10:33:08p |    Amn   Tal   Ort   +++         Odwazny   Podnosi nieznacznie odwage
10:33:08p |    Tal   Eld   Sol   +++            Lisc   Podnosi nieznacznie umiejetnosc w walce wlocznia
10:33:08p |    Ral   Sol   Tir   +++           Kolec   Podnosi nieznacznie umiejetnosc w walce maczuga
10:33:08p |    Sol   Ort   Eld   +++           Patyk   Podnosi nieznacznie umiejetnosc w walce bronia drzewcowa
10:33:08p |    Ral   Sol    El   +++           Bijak   Podnosi nieznacznie umiejetnosc w walce toporem
10:33:08p |    Ith   Nef   Amn   +++       Dziurkacz   Podnosi nieco umiejetnosc w walce sztyletem
10:33:08p |    Sol  Thul   Ith   +++          Ostrze   Podnosi nieznacznie umiejetnosc w walce mieczem
10:33:08p |     El   Sol   Nef   +++         Tluczek   Podnosi nieznacznie umiejetnosc w walce mlotem
10:33:08p |    Sol   Nef  Thul   +++         Krzywak   Podnosi nieznacznie umiejetnosc w walce szabla
10:33:08p |    Tir   Amn   Tal   +++        Karateka   Podnosi nieznacznie umiejetnosc w walce bez broni
10:33:08p |    Sol   Eth   Eld   +++         Lancuch   Podnosi nieznacznie umiejetnosc w walce bronmi lanuchowymi
10:33:08p |    Eth   Tal   Sol   +++        Patelnia   Podnosi nieznacznie umiejetnosc w skutecznym uzywaniu tarczy
10:33:08p |    Tal   Amn   Ral   +++           Lewak   Podnosi nieznacznie umiejetnosc w parowaniu ciosow przeciwnika
